ContentID,ContentType,Campaign,Likes,Date,Views,Clicks
CNT-10024,NEWSLETTER,Campaign_Summer_Boost,4610,2023-06-06,47486,10776
CNT-10025,NEWSLETTER,Campaign_Spring_Sale,7193,2023-03-06,141530,28849
CNT-10026,BLOG,Campaign_Summer_Boost,2479,2023-04-16,44668,9898
CNT-10027,NEWSLETTER,Campaign_Q1_Launch,2613,2023-12-11,29649,5939
CNT-10028,SOCIAL MEDIA,Campaign_Summer_Boost,9549,2024-01-08,107587,21661
CNT-10029,NEWSLETTER,Campaign_Spring_Sale,3295,2024-11-10,47250,9706
CNT-10030,SOCIAL MEDIA,Campaign_Spring_Sale,11090,2024-05-10,112782,25675
CNT-10031,NEWSLETTER,Campaign_Q4_Holiday,11016,2024-09-19,148424,27196
CNT-10032,BLOG,Campaign_Q1_Launch,8685,2023-04-04,94042,22505
CNT-10033,VIDEO,Campaign_Q4_Holiday,1230,2023-04-01,28320,5596
CNT-10034,BLOG,Campaign_Summer_Boost,11588,2023-04-06,138613,29600
CNT-10035,NEWSLETTER,Campaign_Spring_Sale,4423,2023-02-17,73475,14949
CNT-10036,SOCIAL MEDIA,Campaign_Q1_Launch,7841,2024-06-14,125161,22799
CNT-10037,BLOG,Campaign_Q1_Launch,2029,2024-07-19,38067,6928
CNT-10038,SOCIAL MEDIA,Campaign_Q1_Launch,3009,2023-06-27,39336,7335
CNT-10039,VIDEO,Campaign_Spring_Sale,4982,2024-12-26,121403,23928
CNT-10040,SOCIAL MEDIA,Campaign_Spring_Sale,5242,2024-05-26,71920,17003
CNT-10041,VIDEO,Campaign_Spring_Sale,1452,2024-07-10,15639,3439
CNT-10042,NEWSLETTER,Campaign_Spring_Sale,2376,2024-06-24,31458,6718
CNT-10043,BLOG,Campaign_Summer_Boost,10895,2024-02-27,132910,28068
CNT-10044,NEWSLETTER,Campaign_Q4_Holiday,9912,2023-05-19,120953,23574
CNT-10045,VIDEO,Campaign_Spring_Sale,4391,2023-10-29,93375,19678
CNT-10046,SOCIAL MEDIA,Campaign_Q4_Holiday,6868,2024-02-27,129023,25485
CNT-10047,BLOG,Campaign_Summer_Boost,1617,2023-07-18,22860,4468
CNT-10048,SOCIAL MEDIA,Campaign_Q4_Holiday,8175,2024-10-28,128795,26324
CNT-10049,BLOG,Campaign_Q1_Launch,11910,2023-10-07,139353,28792
CNT-10050,SOCIAL MEDIA,Campaign_Summer_Boost,9040,2023-11-10,116756,24704
CNT-10051,BLOG,Campaign_Q4_Holiday,5884,2024-12-21,71944,17192
CNT-10052,BLOG,Campaign_Spring_Sale,2524,2024-03-23,39078,8934
CNT-10053,NEWSLETTER,Campaign_Summer_Boost,2731,2023-06-06,52794,10123
CNT-10054,NEWSLETTER,Campaign_Q1_Launch,9749,2024-02-02,113312,22220
CNT-10055,NEWSLETTER,Campaign_Q4_Holiday,1737,2024-07-04,31744,7539
CNT-10056,SOCIAL MEDIA,Campaign_Spring_Sale,4071,2024-10-07,53245,10360
CNT-10057,SOCIAL MEDIA,Campaign_Summer_Boost,5785,2023-02-23,115586,24690
CNT-10058,SOCIAL MEDIA,Campaign_Q4_Holiday,5072,2023-10-04,69470,13464
CNT-10059,VIDEO,Campaign_Q4_Holiday,1858,2023-11-05,31861,6124
CNT-10060,BLOG,Campaign_Q4_Holiday,12318,2023-12-04,146450,28510
CNT-10061,BLOG,Campaign_Q4_Holiday,6911,2024-02-13,100341,22129
CNT-10062,BLOG,Campaign_Q4_Holiday,11003,2023-02-25,146705,29799
CNT-10063,BLOG,Campaign_Summer_Boost,1753,2024-02-10,32590,7527
CNT-10064,NEWSLETTER,Campaign_Q4_Holiday,7929,2023-09-28,83455,18222
CNT-10065,SOCIAL MEDIA,Campaign_Q4_Holiday,2929,2024-02-25,73770,14011
CNT-10066,VIDEO,Campaign_Summer_Boost,10914,2023-09-17,128873,25943
CNT-10067,SOCIAL MEDIA,Campaign_Q1_Launch,1363,2024-12-02,31109,6144
CNT-10068,NEWSLETTER,Campaign_Q4_Holiday,3756,2024-01-13,80551,16702
CNT-10069,SOCIAL MEDIA,Campaign_Q1_Launch,5743,2023-04-05,80420,16047
CNT-10070,BLOG,Campaign_Q1_Launch,7605,2023-08-30,104215,21315
CNT-10071,SOCIAL MEDIA,Campaign_Summer_Boost,4009,2023-09-27,98756,18070
CNT-10072,SOCIAL MEDIA,Campaign_Spring_Sale,4610,2024-05-02,63707,14179
CNT-10073,NEWSLETTER,Campaign_Q4_Holiday,4234,2024-08-28,68690,13131
CNT-10074,VIDEO,Campaign_Summer_Boost,3163,2023-01-02,48779,9386
CNT-10075,NEWSLETTER,Campaign_Q1_Launch,7018,2024-05-17,147489,31995
CNT-10076,VIDEO,Campaign_Q1_Launch,7316,2024-06-25,110323,20858
CNT-10077,BLOG,Campaign_Summer_Boost,11516,2023-10-30,135357,31675
CNT-10078,NEWSLETTER,Campaign_Summer_Boost,955,2023-01-20,20486,4097
CNT-10079,SOCIAL MEDIA,Campaign_Summer_Boost,5406,2023-10-24,127516,23684
CNT-10080,SOCIAL MEDIA,Campaign_Summer_Boost,7121,2023-01-07,147068,33722
CNT-10081,NEWSLETTER,Campaign_Q4_Holiday,4369,2023-03-20,111018,20805
CNT-10082,VIDEO,Campaign_Spring_Sale,3252,2024-04-11,51682,9639
CNT-10083,BLOG,Campaign_Summer_Boost,3535,2024-04-02,67734,15537
CNT-10084,SOCIAL MEDIA,Campaign_Spring_Sale,1150,2023-05-10,26462,5213
CNT-10085,NEWSLETTER,Campaign_Summer_Boost,4480,2024-03-11,80250,18296
CNT-10086,NEWSLETTER,Campaign_Summer_Boost,6735,2023-07-26,119370,27616
CNT-10087,NEWSLETTER,Campaign_Q1_Launch,8376,2023-01-23,123480,29398
CNT-10088,NEWSLETTER,Campaign_Spring_Sale,4730,2023-06-03,80679,16718
CNT-10089,NEWSLETTER,Campaign_Q4_Holiday,4426,2024-02-19,51397,12009
CNT-10090,NEWSLETTER,Campaign_Q1_Launch,3044,2023-01-08,52741,10932
CNT-10091,VIDEO,Campaign_Summer_Boost,5801,2024-08-15,129458,27573
CNT-10092,VIDEO,Campaign_Summer_Boost,12713,2023-07-02,136204,32337
CNT-10093,VIDEO,Campaign_Q1_Launch,8897,2023-07-27,115419,23916
CNT-10094,SOCIAL MEDIA,Campaign_Spring_Sale,6229,2023-08-24,110676,25230
CNT-10095,SOCIAL MEDIA,Campaign_Q1_Launch,5955,2024-08-19,112144,22020
CNT-10096,BLOG,Campaign_Q1_Launch,10081,2024-03-28,124734,24928
CNT-10097,BLOG,Campaign_Spring_Sale,4630,2023-08-21,53084,12296
CNT-10098,VIDEO,Campaign_Spring_Sale,6089,2024-02-27,86148,16419
CNT-10099,BLOG,Campaign_Summer_Boost,2219,2023-02-05,43932,9419
CNT-10100,BLOG,Campaign_Q1_Launch,1761,2024-05-31,31985,6377
CNT-10101,VIDEO,Campaign_Summer_Boost,1907,2023-10-19,40828,7471
CNT-10102,NEWSLETTER,Campaign_Summer_Boost,4705,2023-09-01,79962,15469
CNT-10103,VIDEO,Campaign_Summer_Boost,9186,2023-11-06,141351,31453
CNT-10104,SOCIAL MEDIA,Campaign_Q4_Holiday,2106,2023-10-16,28876,5202
CNT-10105,VIDEO,Campaign_Q4_Holiday,7051,2023-02-03,84087,16312
CNT-10106,SOCIAL MEDIA,Campaign_Q1_Launch,10868,2023-10-04,136221,24607
CNT-10107,NEWSLETTER,Campaign_Q1_Launch,2887,2024-12-17,44181,10123
CNT-10108,SOCIAL MEDIA,Campaign_Spring_Sale,5928,2024-08-01,70618,16611
CNT-10109,NEWSLETTER,Campaign_Q1_Launch,11940,2024-01-19,132723,29002
CNT-10110,NEWSLETTER,Campaign_Q1_Launch,8451,2023-02-07,134016,27167
CNT-10111,BLOG,Campaign_Q1_Launch,8873,2024-12-06,144389,34236
CNT-10112,SOCIAL MEDIA,Campaign_Q1_Launch,2939,2024-01-07,33137,7915
CNT-10113,VIDEO,Campaign_Q4_Holiday,4563,2024-05-14,64598,12586
CNT-10114,SOCIAL MEDIA,Campaign_Q4_Holiday,4089,2024-09-08,90372,19756
CNT-10115,BLOG,Campaign_Summer_Boost,2009,2024-10-06,26314,5345
CNT-10116,BLOG,Campaign_Summer_Boost,3663,2023-07-27,54122,12921
CNT-10117,BLOG,Campaign_Q4_Holiday,1872,2024-01-27,20624,4533
CNT-10118,BLOG,Campaign_Q1_Launch,7084,2024-04-25,83409,16975
CNT-10119,BLOG,Campaign_Q4_Holiday,4465,2024-04-05,53588,11743
CNT-10120,VIDEO,Campaign_Spring_Sale,5170,2024-10-08,122654,22269
CNT-10121,NEWSLETTER,Campaign_Q1_Launch,3280,2023-01-21,46793,9998
CNT-10122,VIDEO,Campaign_Q1_Launch,3011,2024-10-26,72745,14997
CNT-10123,VIDEO,Campaign_Summer_Boost,789,2024-04-23,15914,3642
CNT-10124,VIDEO,Campaign_Q1_Launch,5175,2024-02-20,66460,15929
CNT-10125,SOCIAL MEDIA,Campaign_Q1_Launch,9949,2024-11-13,105367,24839
CNT-10126,NEWSLETTER,Campaign_Q4_Holiday,13156,2023-03-28,143698,33204
CNT-10127,BLOG,Campaign_Q4_Holiday,3634,2023-04-13,50161,11128
CNT-10128,VIDEO,Campaign_Summer_Boost,10919,2024-09-06,126883,27768
CNT-10129,NEWSLETTER,Campaign_Summer_Boost,7550,2023-07-27,128774,23396
CNT-10130,BLOG,Campaign_Summer_Boost,8863,2023-04-25,117326,26013
CNT-10131,SOCIAL MEDIA,Campaign_Spring_Sale,2006,2023-05-04,24678,4966
CNT-10132,SOCIAL MEDIA,Campaign_Summer_Boost,10090,2024-08-05,120190,23366
CNT-10133,NEWSLETTER,Campaign_Summer_Boost,2594,2024-01-01,60798,12226
CNT-10134,VIDEO,Campaign_Q4_Holiday,12969,2024-06-21,137414,30893
CNT-10135,NEWSLETTER,Campaign_Q4_Holiday,2999,2023-05-14,64581,13031
CNT-10136,VIDEO,Campaign_Q4_Holiday,8875,2023-10-16,145190,28417
CNT-10137,NEWSLETTER,Campaign_Q4_Holiday,7008,2024-09-29,77588,15706
CNT-10138,BLOG,Campaign_Summer_Boost,4459,2024-09-10,71665,15208
CNT-10139,NEWSLETTER,Campaign_Q1_Launch,4862,2023-03-24,61515,12366
CNT-10140,SOCIAL MEDIA,Campaign_Q1_Launch,8201,2024-08-14,114605,26762
CNT-10141,VIDEO,Campaign_Spring_Sale,5993,2023-04-02,115014,26291
CNT-10142,NEWSLETTER,Campaign_Spring_Sale,5249,2023-08-06,70264,14205
CNT-10143,VIDEO,Campaign_Spring_Sale,6289,2024-10-18,140407,29964
CNT-10144,NEWSLETTER,Campaign_Spring_Sale,7344,2023-12-06,140158,28372
CNT-10145,SOCIAL MEDIA,Campaign_Q4_Holiday,3841,2023-10-11,60000,10991
CNT-10146,NEWSLETTER,Campaign_Summer_Boost,6764,2024-07-25,140843,29612
CNT-10147,SOCIAL MEDIA,Campaign_Q4_Holiday,3842,2024-04-07,66633,13154
CNT-10148,SOCIAL MEDIA,Campaign_Spring_Sale,2327,2024-03-27,48432,9117
CNT-10149,NEWSLETTER,Campaign_Q4_Holiday,4875,2023-09-08,102987,24133
CNT-10150,BLOG,Campaign_Q4_Holiday,9384,2023-02-26,112916,25992
CNT-10151,BLOG,Campaign_Summer_Boost,10145,2024-05-09,141446,31339
CNT-10152,VIDEO,Campaign_Q4_Holiday,7730,2024-11-16,93815,18034
CNT-10153,BLOG,Campaign_Spring_Sale,5172,2023-09-11,94117,20559
CNT-10154,VIDEO,Campaign_Q1_Launch,4430,2024-08-24,101619,21309
CNT-10155,SOCIAL MEDIA,Campaign_Q4_Holiday,2765,2023-02-05,56398,10321
CNT-10156,SOCIAL MEDIA,Campaign_Q4_Holiday,6729,2024-03-03,112821,23358
CNT-10157,SOCIAL MEDIA,Campaign_Summer_Boost,2880,2024-07-02,66663,12797
CNT-10158,NEWSLETTER,Campaign_Q4_Holiday,1240,2023-11-29,16248,3710
CNT-10159,VIDEO,Campaign_Q4_Holiday,7204,2024-10-20,86375,16728
CNT-10160,BLOG,Campaign_Summer_Boost,2982,2023-01-17,42827,7864
CNT-10161,BLOG,Campaign_Spring_Sale,11262,2023-09-24,142607,32339
CNT-10162,SOCIAL MEDIA,Campaign_Summer_Boost,4817,2023-01-02,87982,20278
CNT-10163,VIDEO,Campaign_Q1_Launch,11288,2024-03-01,147364,31350
CNT-10164,VIDEO,Campaign_Spring_Sale,5235,2024-08-23,55795,12596
CNT-10165,SOCIAL MEDIA,Campaign_Summer_Boost,8848,2024-06-25,132518,31574
CNT-10166,BLOG,Campaign_Q1_Launch,2910,2023-02-08,41409,7675
CNT-10167,SOCIAL MEDIA,Campaign_Summer_Boost,5824,2023-04-05,135076,27307
CNT-10168,NEWSLETTER,Campaign_Summer_Boost,3205,2023-12-09,57302,11635
CNT-10169,BLOG,Campaign_Summer_Boost,5965,2023-07-02,124111,29705
CNT-10170,VIDEO,Campaign_Spring_Sale,9267,2024-09-29,104570,23271
CNT-10171,SOCIAL MEDIA,Campaign_Spring_Sale,3466,2023-03-27,80525,17246
CNT-10172,NEWSLETTER,Campaign_Spring_Sale,5300,2023-03-05,92359,17894
CNT-10173,BLOG,Campaign_Summer_Boost,11668,2023-02-21,138806,30691
CNT-10174,NEWSLETTER,Campaign_Q1_Launch,6283,2023-03-20,80492,18962
CNT-10175,VIDEO,Campaign_Q4_Holiday,5017,2023-05-17,108708,20274
CNT-10176,VIDEO,Campaign_Summer_Boost,1678,2023-06-24,37389,8390
CNT-10177,SOCIAL MEDIA,Campaign_Summer_Boost,2695,2024-01-28,42969,8991
CNT-10178,VIDEO,Campaign_Summer_Boost,10286,2024-06-25,129326,25242
CNT-10179,BLOG,Campaign_Summer_Boost,3312,2024-03-21,46941,8989
CNT-10180,NEWSLETTER,Campaign_Summer_Boost,979,2024-09-03,18233,3435
CNT-10181,VIDEO,Campaign_Summer_Boost,11919,2024-07-19,128008,28391
CNT-10182,VIDEO,Campaign_Q4_Holiday,3437,2024-07-15,40927,9004
CNT-10183,SOCIAL MEDIA,Campaign_Q1_Launch,7739,2024-08-29,101296,19313
CNT-10184,SOCIAL MEDIA,Campaign_Spring_Sale,3562,2024-10-20,37451,8571
CNT-10185,VIDEO,Campaign_Summer_Boost,5216,2023-10-04,56951,12200
CNT-10186,VIDEO,Campaign_Summer_Boost,3352,2023-08-10,43877,8646
CNT-10187,BLOG,Campaign_Q4_Holiday,3767,2023-06-22,64692,13897
CNT-10188,NEWSLETTER,Campaign_Summer_Boost,2296,2023-06-16,55327,9977
CNT-10189,VIDEO,Campaign_Q1_Launch,5553,2023-02-22,133023,26354
CNT-10190,BLOG,Campaign_Summer_Boost,9141,2024-06-17,129252,28060
CNT-10191,NEWSLETTER,Campaign_Q4_Holiday,8065,2024-12-08,110417,24010
CNT-10192,SOCIAL MEDIA,Campaign_Q4_Holiday,5287,2023-09-11,63920,15108
CNT-10193,NEWSLETTER,Campaign_Q4_Holiday,10450,2024-03-02,100707,23864
CNT-10194,BLOG,Campaign_Summer_Boost,5023,2023-07-15,47441,11374
CNT-10195,SOCIAL MEDIA,Campaign_Q1_Launch,1136,2023-03-05,21668,5060
CNT-10196,BLOG,Campaign_Spring_Sale,4033,2024-06-30,72076,13416
CNT-10197,SOCIAL MEDIA,Campaign_Spring_Sale,4563,2023-01-13,90974,17374
CNT-10198,SOCIAL MEDIA,Campaign_Spring_Sale,7187,2024-05-03,81007,16498
CNT-10199,VIDEO,Campaign_Spring_Sale,2393,2023-09-10,56444,10193
CNT-10200,BLOG,Campaign_Spring_Sale,5159,2023-02-10,78371,16631
CNT-10201,NEWSLETTER,Campaign_Q4_Holiday,8282,2024-09-25,115890,21066
CNT-10202,SOCIAL MEDIA,Campaign_Q4_Holiday,12063,2023-11-06,126832,28220
CNT-10203,VIDEO,Campaign_Q4_Holiday,7231,2024-04-04,142610,33056
CNT-10204,BLOG,Campaign_Spring_Sale,4496,2023-09-04,91575,21114
CNT-10205,SOCIAL MEDIA,Campaign_Q1_Launch,5305,2024-11-20,112090,25922
CNT-10206,NEWSLETTER,Campaign_Spring_Sale,8167,2023-05-21,89359,20364
CNT-10207,BLOG,Campaign_Summer_Boost,3529,2023-03-08,62932,12959
CNT-10208,NEWSLETTER,Campaign_Spring_Sale,5296,2024-12-27,61630,12888
CNT-10209,SOCIAL MEDIA,Campaign_Summer_Boost,4474,2024-07-18,63570,12279
CNT-10210,SOCIAL MEDIA,Campaign_Spring_Sale,11136,2024-10-03,114962,25163
CNT-10211,SOCIAL MEDIA,Campaign_Q4_Holiday,8547,2023-02-10,126798,26749
CNT-10212,BLOG,Campaign_Spring_Sale,6540,2024-10-28,75882,15262
CNT-10213,SOCIAL MEDIA,Campaign_Q1_Launch,5200,2023-03-24,111263,23891
CNT-10214,NEWSLETTER,Campaign_Spring_Sale,2217,2023-11-16,36200,7929
CNT-10215,NEWSLETTER,Campaign_Q1_Launch,6053,2024-11-02,105749,19078
CNT-10216,VIDEO,Campaign_Q4_Holiday,10849,2024-07-18,140694,28490
CNT-10217,BLOG,Campaign_Summer_Boost,6584,2024-01-22,119726,22971
CNT-10218,NEWSLETTER,Campaign_Q4_Holiday,2805,2023-01-12,47832,10815
CNT-10219,BLOG,Campaign_Summer_Boost,3000,2024-07-19,34125,7393
CNT-10220,BLOG,Campaign_Summer_Boost,4755,2024-01-15,87850,19757
CNT-10221,BLOG,Campaign_Summer_Boost,3269,2023-07-13,41429,7944
CNT-10222,VIDEO,Campaign_Summer_Boost,1470,2024-02-28,32647,6564
CNT-10223,SOCIAL MEDIA,Campaign_Summer_Boost,3870,2023-04-12,43766,10295
CNT-10224,VIDEO,Campaign_Q4_Holiday,6551,2023-08-24,145517,28887
CNT-10225,NEWSLETTER,Campaign_Spring_Sale,10403,2023-01-11,120356,27125
CNT-10226,BLOG,Campaign_Q1_Launch,3863,2023-05-26,81010,14897
CNT-10227,SOCIAL MEDIA,Campaign_Spring_Sale,6530,2024-05-13,83371,15678
CNT-10228,NEWSLETTER,Campaign_Q1_Launch,6355,2023-06-26,67093,15633
CNT-10229,SOCIAL MEDIA,Campaign_Q1_Launch,3383,2024-06-22,51681,10902
CNT-10230,SOCIAL MEDIA,Campaign_Summer_Boost,8118,2023-11-24,95532,21063
CNT-10231,SOCIAL MEDIA,Campaign_Q1_Launch,2434,2023-11-21,33508,7847
CNT-10232,NEWSLETTER,Campaign_Spring_Sale,8644,2023-03-31,145559,33983
CNT-10233,BLOG,Campaign_Spring_Sale,4201,2023-01-17,77549,18567
CNT-10234,NEWSLETTER,Campaign_Spring_Sale,4407,2023-12-09,78107,14311
CNT-10235,BLOG,Campaign_Q1_Launch,1845,2023-04-08,22012,4272
CNT-10236,VIDEO,Campaign_Spring_Sale,10783,2023-04-05,124440,24622
CNT-10237,VIDEO,Campaign_Q1_Launch,2140,2023-03-19,48813,8984
CNT-10238,BLOG,Campaign_Q1_Launch,1830,2023-09-26,37870,7833
CNT-10239,NEWSLETTER,Campaign_Q1_Launch,8748,2024-04-01,126309,27543
CNT-10240,SOCIAL MEDIA,Campaign_Spring_Sale,2204,2024-05-04,31837,6268
CNT-10241,VIDEO,Campaign_Spring_Sale,3123,2024-10-21,48648,11566
CNT-10242,BLOG,Campaign_Q4_Holiday,3974,2023-11-09,82059,15819
CNT-10243,SOCIAL MEDIA,Campaign_Q1_Launch,1169,2023-02-16,26373,5398
CNT-10244,VIDEO,Campaign_Summer_Boost,4335,2023-10-27,118572,21356
CNT-10245,VIDEO,Campaign_Spring_Sale,2657,2024-04-11,46970,9115
CNT-10246,BLOG,Campaign_Spring_Sale,2385,2023-05-31,27405,6118
CNT-10247,SOCIAL MEDIA,Campaign_Spring_Sale,9266,2024-12-10,108674,22321
CNT-10248,NEWSLETTER,Campaign_Spring_Sale,3113,2023-03-20,37304,7809
CNT-10249,NEWSLETTER,Campaign_Q4_Holiday,11334,2024-01-15,143740,29525
CNT-10250,VIDEO,Campaign_Spring_Sale,11107,2023-05-12,146098,30508
CNT-10251,SOCIAL MEDIA,Campaign_Q1_Launch,5752,2023-06-14,73512,15943
CNT-10252,VIDEO,Campaign_Summer_Boost,6466,2024-01-05,147822,30834
CNT-10253,VIDEO,Campaign_Summer_Boost,6434,2024-06-06,98646,19778
CNT-10254,VIDEO,Campaign_Q4_Holiday,4844,2024-12-03,73548,14476
CNT-10255,VIDEO,Campaign_Q4_Holiday,10442,2023-02-11,120575,27338
CNT-10256,SOCIAL MEDIA,Campaign_Q1_Launch,9908,2024-06-06,106183,24696
CNT-10257,BLOG,Campaign_Spring_Sale,3238,2023-11-30,42798,9673
CNT-10258,SOCIAL MEDIA,Campaign_Q4_Holiday,4003,2023-11-10,51754,9418
CNT-10259,SOCIAL MEDIA,Campaign_Spring_Sale,4795,2023-11-20,62893,13011
CNT-10260,BLOG,Campaign_Q1_Launch,6614,2024-03-06,122630,23750
CNT-10261,NEWSLETTER,Campaign_Q1_Launch,4752,2024-10-12,51771,12353
CNT-10262,VIDEO,Campaign_Summer_Boost,5040,2023-07-10,66699,13841
CNT-10263,VIDEO,Campaign_Summer_Boost,6920,2023-12-11,109120,24109
CNT-10264,SOCIAL MEDIA,Campaign_Summer_Boost,6524,2023-02-06,84987,16737
CNT-10265,NEWSLETTER,Campaign_Q4_Holiday,12372,2024-06-22,134546,27996
CNT-10266,SOCIAL MEDIA,Campaign_Spring_Sale,2005,2023-02-09,42748,9649
CNT-10267,NEWSLETTER,Campaign_Spring_Sale,841,2024-09-25,17398,4097
CNT-10268,BLOG,Campaign_Q4_Holiday,3107,2023-10-30,32839,7856
CNT-10269,NEWSLETTER,Campaign_Q1_Launch,8565,2024-12-10,131285,26522
CNT-10270,VIDEO,Campaign_Summer_Boost,1939,2024-12-11,39845,9425
CNT-10271,BLOG,Campaign_Q4_Holiday,8438,2023-09-21,122178,25536
CNT-10272,BLOG,Campaign_Spring_Sale,6587,2024-05-24,128614,24123
CNT-10273,VIDEO,Campaign_Summer_Boost,5888,2023-01-17,123639,25741
CNT-10274,VIDEO,Campaign_Q4_Holiday,8017,2023-06-10,137211,31107
CNT-10275,BLOG,Campaign_Q4_Holiday,2208,2023-08-18,27322,6053
CNT-10276,VIDEO,Campaign_Q4_Holiday,6094,2024-11-06,79034,14864
CNT-10277,NEWSLETTER,Campaign_Q4_Holiday,7151,2023-03-03,82205,17759
CNT-10278,SOCIAL MEDIA,Campaign_Q1_Launch,4880,2023-04-14,83362,18997
CNT-10279,NEWSLETTER,Campaign_Q4_Holiday,11841,2023-09-25,146127,34487
CNT-10280,NEWSLETTER,Campaign_Spring_Sale,5030,2024-06-24,89351,18587
CNT-10281,VIDEO,Campaign_Q1_Launch,3926,2023-10-23,65239,11974
CNT-10282,SOCIAL MEDIA,Campaign_Spring_Sale,3931,2024-01-01,79870,14777
CNT-10283,NEWSLETTER,Campaign_Summer_Boost,1966,2024-04-19,40401,8508
CNT-10284,BLOG,Campaign_Q1_Launch,6685,2023-09-05,139421,25571
CNT-10285,NEWSLETTER,Campaign_Summer_Boost,3569,2024-01-26,66854,14957
CNT-10286,NEWSLETTER,Campaign_Summer_Boost,2129,2024-12-06,22427,5345
CNT-10287,BLOG,Campaign_Spring_Sale,4808,2024-10-26,114599,21577
CNT-10288,SOCIAL MEDIA,Campaign_Spring_Sale,2481,2023-04-22,47367,8733
CNT-10289,VIDEO,Campaign_Q1_Launch,997,2023-01-12,22082,4822
CNT-10290,NEWSLETTER,Campaign_Q1_Launch,6498,2023-07-28,79971,17931
CNT-10291,VIDEO,Campaign_Q1_Launch,6208,2024-11-22,109497,25432
CNT-10292,BLOG,Campaign_Summer_Boost,3881,2024-03-24,57978,12685
CNT-10293,SOCIAL MEDIA,Campaign_Summer_Boost,5296,2023-11-20,67472,14414
CNT-10294,NEWSLETTER,Campaign_Q1_Launch,2477,2024-12-02,47425,10905
CNT-10295,BLOG,Campaign_Summer_Boost,5831,2024-12-19,85814,19228
CNT-10296,VIDEO,Campaign_Summer_Boost,6241,2023-11-21,101363,20158
CNT-10297,SOCIAL MEDIA,Campaign_Q4_Holiday,3844,2023-03-03,48358,10793
CNT-10298,VIDEO,Campaign_Summer_Boost,5645,2023-07-16,96512,22974
CNT-10299,SOCIAL MEDIA,Campaign_Spring_Sale,7878,2023-12-23,106052,22621
CNT-10300,VIDEO,Campaign_Spring_Sale,5780,2024-06-14,102361,23804
CNT-10301,VIDEO,Campaign_Summer_Boost,1704,2023-02-16,22344,5263
CNT-10302,NEWSLETTER,Campaign_Q1_Launch,8834,2023-10-29,133243,30445
CNT-10303,SOCIAL MEDIA,Campaign_Summer_Boost,4609,2024-05-19,62404,12282
CNT-10304,NEWSLETTER,Campaign_Q4_Holiday,6853,2024-08-02,81351,16035
CNT-10305,NEWSLETTER,Campaign_Summer_Boost,4428,2023-02-24,79299,14435
CNT-10306,VIDEO,Campaign_Q4_Holiday,1169,2024-06-07,17283,3511
CNT-10307,SOCIAL MEDIA,Campaign_Q4_Holiday,4581,2024-11-18,93027,19794
CNT-10308,NEWSLETTER,Campaign_Summer_Boost,8186,2024-08-30,110684,25251
CNT-10309,SOCIAL MEDIA,Campaign_Summer_Boost,5888,2024-08-19,91088,19965
CNT-10310,VIDEO,Campaign_Spring_Sale,3492,2023-01-25,46793,8484
CNT-10311,NEWSLETTER,Campaign_Spring_Sale,9498,2023-07-22,109492,21372
CNT-10312,NEWSLETTER,Campaign_Q1_Launch,1903,2024-09-21,39269,8848
CNT-10313,SOCIAL MEDIA,Campaign_Spring_Sale,5245,2023-05-27,81288,16917
CNT-10314,NEWSLETTER,Campaign_Spring_Sale,10200,2023-04-17,109520,24105
