JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
43,263,5,23-03-2024,IMPRESSIONS,VIEWED,40.39
44,14,14,24-02-2023,IMPRESSIONS,VIEWED,20.45
45,42,12,18-08-2023,IMPRESSIONS,VIEWED,36.66
46,71,2,21-10-2023,CHECKOUT,ABANDONED,
47,72,16,04-04-2024,CLICK,CLICKED,34.19
48,77,18,15-09-2024,CLICK,CLICKED,32.82
49,63,2,02-09-2023,IMPRESSIONS,VIEWED,9.43
50,256,20,02-07-2024,IMPRESSIONS,VIEWED,16.65
51,1,20,28-12-2023,IMPRESSIONS,VIEWED,31.57
52,44,17,05-01-2024,IMPRESSIONS,VIEWED,39.93
53,23,13,18-01-2024,IMPRESSIONS,VIEWED,36.54
54,177,8,03-11-2024,CLICK,CLICKED,18.33
55,280,11,20-10-2024,IMPRESSIONS,VIEWED,30.27
56,70,3,13-04-2024,IMPRESSIONS,VIEWED,36.64
57,22,11,14-11-2023,CLICK,CLICKED,17.75
58,98,10,01-01-2024,CHECKOUT,ABANDONED,
59,170,9,08-05-2023,CART,ADDED TO CART,136.74
60,226,13,14-12-2023,CHECKOUT,PURCHASED,221.48
61,189,17,01-10-2023,CART,ADDED TO CART,39.47
62,93,18,28-10-2023,IMPRESSIONS,VIEWED,31.44
63,157,15,09-09-2024,CLICK,CLICKED,41.37
64,22,12,21-09-2024,CHECKOUT,PURCHASED,208.06
65,30,3,18-11-2024,CLICK,CLICKED,86.46
66,74,20,25-11-2024,CART,ADDED TO CART,45.15
67,121,12,06-01-2024,IMPRESSIONS,VIEWED,32.16
68,190,12,30-03-2024,CART,ADDED TO CART,93.54
69,204,11,27-10-2024,IMPRESSIONS,VIEWED,34.43
70,256,17,01-02-2024,CHECKOUT,ABANDONED,
71,135,9,21-12-2024,IMPRESSIONS,VIEWED,13.01
72,70,3,07-04-2024,IMPRESSIONS,VIEWED,37.42
73,164,12,27-12-2024,IMPRESSIONS,VIEWED,39.05
74,90,12,04-06-2024,IMPRESSIONS,VIEWED,14.47
75,253,1,05-01-2024,CLICK,CLICKED,75.27
76,283,5,18-09-2024,CHECKOUT,ABANDONED,
77,159,13,05-05-2024,CLICK,CLICKED,24.4
78,163,3,05-04-2024,CLICK,CLICKED,80.85
79,283,19,06-07-2023,CART,ADDED TO CART,81.91
80,29,4,14-06-2024,IMPRESSIONS,VIEWED,17.91
81,116,12,15-06-2024,CHECKOUT,ABANDONED,
82,129,7,12-10-2024,CHECKOUT,PURCHASED,76.92
83,156,20,30-06-2024,IMPRESSIONS,VIEWED,11.85
84,173,19,12-02-2023,CART,ADDED TO CART,39.75
85,296,9,28-10-2024,IMPRESSIONS,VIEWED,24.92
86,280,10,19-10-2024,CHECKOUT,PURCHASED,107.44
87,208,10,09-04-2024,IMPRESSIONS,VIEWED,22.58
88,248,15,28-07-2023,IMPRESSIONS,VIEWED,39.46
89,164,12,13-02-2024,IMPRESSIONS,VIEWED,17.76
90,239,4,01-10-2023,IMPRESSIONS,VIEWED,7.02
91,197,20,04-03-2024,IMPRESSIONS,VIEWED,42.35
92,161,7,13-06-2023,CLICK,CLICKED,80.93
93,255,1,03-04-2023,DROP-OFF,ABANDONED,
94,235,8,09-08-2023,CLICK,CLICKED,36.1
95,241,10,03-07-2024,IMPRESSIONS,VIEWED,10.36
96,136,12,17-02-2024,IMPRESSIONS,VIEWED,27.81
97,100,12,20-07-2024,IMPRESSIONS,VIEWED,35.58
98,144,20,27-11-2024,CLICK,CLICKED,44.54
99,174,18,10-01-2024,CART,ADDED TO CART,102.3
100,206,17,11-02-2023,IMPRESSIONS,VIEWED,37.16
101,266,15,02-06-2023,CLICK,CLICKED,84.85
102,164,6,07-02-2024,CHECKOUT,PURCHASED,196.4
103,260,17,29-06-2024,CLICK,CLICKED,76.18
104,189,11,20-11-2024,IMPRESSIONS,VIEWED,36.87
105,14,20,30-04-2024,IMPRESSIONS,VIEWED,28.34
106,88,17,06-10-2024,CART,ADDED TO CART,47.73
107,125,2,09-08-2024,CHECKOUT,ABANDONED,
108,98,1,27-03-2024,IMPRESSIONS,VIEWED,32.62
109,211,17,18-09-2024,DROP-OFF,ABANDONED,
110,32,5,15-06-2024,IMPRESSIONS,VIEWED,26.02
111,161,6,15-04-2024,CHECKOUT,ABANDONED,
112,280,12,23-11-2024,CART,ADDED TO CART,103.21
113,99,8,13-10-2023,CLICK,CLICKED,72.84
114,107,16,21-11-2023,CLICK,CLICKED,24.14
115,279,13,09-02-2024,CART,ADDED TO CART,64.85
116,148,3,21-12-2023,DROP-OFF,ABANDONED,
117,132,16,08-08-2023,IMPRESSIONS,VIEWED,10.49
118,123,8,21-02-2023,CLICK,CLICKED,18.94
119,212,11,28-04-2024,IMPRESSIONS,VIEWED,43.58
120,81,14,30-10-2024,CHECKOUT,ABANDONED,
121,245,7,22-10-2023,IMPRESSIONS,VIEWED,31.09
122,119,18,08-02-2023,CHECKOUT,ABANDONED,
123,214,6,07-02-2023,CHECKOUT,PURCHASED,245.93
124,96,10,08-02-2023,IMPRESSIONS,VIEWED,16.38
125,279,17,20-05-2024,CHECKOUT,ABANDONED,
126,259,15,07-10-2023,IMPRESSIONS,VIEWED,11.5
127,235,9,10-07-2023,IMPRESSIONS,VIEWED,27.71
128,99,6,17-09-2024,CHECKOUT,ABANDONED,
129,219,17,02-12-2023,IMPRESSIONS,VIEWED,44.27
130,245,11,12-09-2023,IMPRESSIONS,VIEWED,22.87
131,137,11,06-11-2023,CLICK,CLICKED,64.03
132,121,2,14-11-2024,IMPRESSIONS,VIEWED,21.22
133,258,10,07-12-2024,IMPRESSIONS,VIEWED,29.59
134,113,5,04-05-2024,IMPRESSIONS,VIEWED,33.08
135,242,18,11-11-2024,CART,ADDED TO CART,111.64
136,42,17,02-04-2024,CLICK,CLICKED,83.79
137,58,2,14-07-2024,CHECKOUT,ABANDONED,
138,294,18,03-06-2023,IMPRESSIONS,VIEWED,32.21
139,299,16,04-04-2023,CHECKOUT,ABANDONED,
140,29,15,16-05-2023,CLICK,CLICKED,56.91
141,158,1,10-02-2024,IMPRESSIONS,VIEWED,28.13
142,24,14,19-12-2023,CLICK,CLICKED,88.96
143,242,2,21-10-2023,IMPRESSIONS,VIEWED,19.98
144,196,15,22-01-2024,IMPRESSIONS,VIEWED,9.75
145,276,13,25-06-2024,IMPRESSIONS,VIEWED,35.25
146,153,15,20-11-2024,CLICK,CLICKED,76.75
147,127,15,21-12-2023,IMPRESSIONS,VIEWED,6.29
148,215,20,17-01-2023,IMPRESSIONS,VIEWED,28.76
149,229,20,19-11-2024,CLICK,CLICKED,70.54
150,206,15,28-08-2023,CLICK,CLICKED,52.79
151,149,8,12-08-2024,IMPRESSIONS,VIEWED,17.07
152,74,17,15-08-2023,IMPRESSIONS,VIEWED,27.27
153,90,14,23-07-2024,CLICK,CLICKED,73.94
154,164,14,23-02-2024,IMPRESSIONS,VIEWED,35.18
155,243,8,19-08-2023,IMPRESSIONS,VIEWED,41.59
156,288,14,02-03-2024,CLICK,CLICKED,33.21
157,105,11,24-10-2024,IMPRESSIONS,VIEWED,8.7
158,98,2,02-10-2023,IMPRESSIONS,VIEWED,12.53
159,287,7,05-05-2024,IMPRESSIONS,VIEWED,43.28
160,8,7,14-07-2023,CHECKOUT,PURCHASED,235.45
161,246,8,13-12-2024,CLICK,CLICKED,83.63
162,283,11,17-10-2023,IMPRESSIONS,VIEWED,15.46
163,263,16,22-04-2024,IMPRESSIONS,VIEWED,41.57
164,190,11,28-02-2024,IMPRESSIONS,VIEWED,5.65
165,284,19,16-08-2024,CART,ADDED TO CART,48.29
166,169,8,24-01-2024,CLICK,CLICKED,56.3
167,173,9,15-05-2024,CHECKOUT,PURCHASED,162.51
168,181,6,24-05-2023,CART,ADDED TO CART,52.09
169,278,2,20-06-2024,IMPRESSIONS,VIEWED,35.57
170,212,5,07-10-2024,IMPRESSIONS,VIEWED,13.75
171,234,12,03-03-2023,CLICK,CLICKED,16.18
172,273,18,26-02-2024,IMPRESSIONS,VIEWED,5.69
173,221,6,20-04-2023,DROP-OFF,ABANDONED,
174,77,8,16-07-2023,CLICK,CLICKED,35.05
175,204,3,18-01-2024,CHECKOUT,PURCHASED,189.08
176,116,10,01-12-2024,CART,ADDED TO CART,108.45
177,17,3,20-02-2024,IMPRESSIONS,VIEWED,30.47
178,88,3,26-05-2024,CART,ADDED TO CART,97.9
179,49,17,13-02-2023,IMPRESSIONS,VIEWED,6.86
180,39,9,10-07-2024,CLICK,CLICKED,84.66
181,162,1,01-08-2023,CLICK,CLICKED,37.45
182,289,8,03-08-2024,CART,ADDED TO CART,111.24
183,277,11,29-01-2024,CART,ADDED TO CART,124.86
184,41,17,21-12-2023,IMPRESSIONS,VIEWED,38.55
185,175,20,20-09-2024,CHECKOUT,PURCHASED,292.07
186,168,1,11-10-2024,IMPRESSIONS,VIEWED,14.13
187,284,13,18-03-2024,IMPRESSIONS,VIEWED,35.89
188,152,8,31-12-2024,IMPRESSIONS,VIEWED,20.2
189,79,13,21-11-2023,IMPRESSIONS,VIEWED,42.72
190,228,12,04-10-2023,IMPRESSIONS,VIEWED,22.24
191,286,18,08-06-2024,IMPRESSIONS,VIEWED,19.16
192,48,20,04-09-2024,CART,ADDED TO CART,31.48
193,212,13,28-03-2023,CART,ADDED TO CART,98.64
194,87,13,23-06-2023,IMPRESSIONS,VIEWED,24.72
195,33,6,21-03-2024,IMPRESSIONS,VIEWED,36.31
196,185,9,10-09-2023,CART,ADDED TO CART,101.26
197,101,15,20-04-2023,IMPRESSIONS,VIEWED,18.29
198,195,11,26-03-2024,IMPRESSIONS,VIEWED,17.83
199,103,16,18-11-2023,IMPRESSIONS,VIEWED,16.66
200,252,19,06-09-2023,IMPRESSIONS,VIEWED,19.6
201,289,7,29-08-2024,CHECKOUT,PURCHASED,218.84
202,282,1,17-04-2024,CHECKOUT,ABANDONED,
203,225,10,10-12-2024,IMPRESSIONS,VIEWED,10.57
204,156,8,16-09-2023,CLICK,CLICKED,20.55
205,246,19,15-02-2024,CLICK,CLICKED,74.3
206,185,18,31-08-2024,CLICK,CLICKED,72.67
207,182,6,24-10-2024,CLICK,CLICKED,87.43
208,221,4,11-01-2023,IMPRESSIONS,VIEWED,22.83
209,201,15,26-11-2024,CLICK,CLICKED,89.83
210,248,4,30-10-2023,IMPRESSIONS,VIEWED,38.25
211,73,12,16-11-2023,IMPRESSIONS,VIEWED,18.93
212,50,15,14-12-2024,CLICK,CLICKED,18.35
213,59,1,18-12-2023,CLICK,CLICKED,53.7
214,283,6,05-12-2023,CLICK,CLICKED,74.83
215,95,6,17-10-2024,CLICK,CLICKED,70.3
216,102,15,29-08-2024,IMPRESSIONS,VIEWED,13.23
217,33,19,15-04-2023,CART,ADDED TO CART,73.9
218,101,15,27-04-2023,IMPRESSIONS,VIEWED,28.88
219,201,19,27-04-2023,IMPRESSIONS,VIEWED,37.55
220,153,20,27-08-2024,IMPRESSIONS,VIEWED,9.71
221,157,4,07-07-2023,IMPRESSIONS,VIEWED,21.73
222,71,19,28-01-2024,IMPRESSIONS,VIEWED,27.2
223,251,10,24-05-2023,IMPRESSIONS,VIEWED,39.62
224,5,16,20-05-2023,IMPRESSIONS,VIEWED,21.37
225,252,14,28-12-2024,CART,ADDED TO CART,50.07
226,290,1,14-08-2023,IMPRESSIONS,VIEWED,26.5
227,87,15,02-08-2024,CART,ADDED TO CART,95.97
228,58,19,27-04-2023,IMPRESSIONS,VIEWED,35.4
229,226,18,12-08-2023,CHECKOUT,PURCHASED,232.68
230,127,10,03-02-2023,IMPRESSIONS,VIEWED,22.56
231,61,8,03-08-2023,CART,ADDED TO CART,133.33
232,220,6,22-09-2024,IMPRESSIONS,VIEWED,37.22
233,292,12,29-06-2024,IMPRESSIONS,VIEWED,44.16
234,150,10,09-08-2024,IMPRESSIONS,VIEWED,43.51
235,211,2,11-10-2023,CHECKOUT,ABANDONED,
236,68,8,30-05-2023,CLICK,CLICKED,51.71
237,296,9,04-10-2024,IMPRESSIONS,VIEWED,30.35
238,48,13,11-06-2024,CART,ADDED TO CART,84.56
239,250,11,18-08-2024,IMPRESSIONS,VIEWED,30.39
240,184,3,01-07-2024,IMPRESSIONS,VIEWED,24.79
241,166,10,12-12-2023,CLICK,CLICKED,74.12
242,25,2,12-04-2023,CLICK,CLICKED,24.32
243,81,15,12-04-2024,IMPRESSIONS,VIEWED,44.83
244,68,10,12-06-2023,CHECKOUT,ABANDONED,
245,48,12,14-09-2023,IMPRESSIONS,VIEWED,20.85
246,157,8,15-03-2024,CLICK,CLICKED,31.01
247,40,5,30-08-2024,IMPRESSIONS,VIEWED,5.32
248,176,4,08-03-2024,CLICK,CLICKED,32.17
249,46,4,16-04-2023,IMPRESSIONS,VIEWED,20.31
250,69,5,12-03-2023,CLICK,CLICKED,48.01
251,110,5,26-02-2024,CLICK,CLICKED,21.5
252,52,5,07-05-2023,CLICK,CLICKED,87.24
253,162,5,11-09-2023,IMPRESSIONS,VIEWED,27.14
254,146,1,05-11-2024,CHECKOUT,ABANDONED,
255,266,20,05-06-2024,IMPRESSIONS,VIEWED,30.85
256,123,16,31-01-2024,IMPRESSIONS,VIEWED,26.13
257,7,12,21-11-2023,IMPRESSIONS,VIEWED,26.85
258,89,16,16-03-2023,IMPRESSIONS,VIEWED,15.49
259,21,2,12-02-2024,CLICK,CLICKED,67.64
260,43,18,04-07-2024,CLICK,CLICKED,38.24
261,262,7,09-06-2023,CLICK,CLICKED,38.26
262,224,8,01-03-2023,IMPRESSIONS,VIEWED,23.13
263,29,10,13-11-2024,CART,ADDED TO CART,44.33
264,71,1,17-06-2023,CLICK,CLICKED,27.52
265,65,9,01-05-2023,CART,ADDED TO CART,70.2
266,220,9,20-06-2024,IMPRESSIONS,VIEWED,23.21
267,185,2,26-05-2024,CHECKOUT,ABANDONED,
268,189,6,19-09-2023,CART,ADDED TO CART,57.41
269,261,1,15-02-2023,CHECKOUT,ABANDONED,
270,126,2,28-04-2024,IMPRESSIONS,VIEWED,42.25
271,19,18,02-11-2024,IMPRESSIONS,VIEWED,21.65
272,164,9,21-03-2023,CLICK,CLICKED,28.45
273,265,2,15-02-2024,IMPRESSIONS,VIEWED,35.94
274,160,11,30-03-2023,CLICK,CLICKED,30.05
275,289,10,29-09-2024,IMPRESSIONS,VIEWED,44.91
276,101,18,09-09-2023,IMPRESSIONS,VIEWED,14.32
277,178,1,10-12-2023,IMPRESSIONS,VIEWED,9.16
278,272,8,05-03-2024,CLICK,CLICKED,68.37
279,48,2,26-08-2023,DROP-OFF,ABANDONED,
280,212,12,14-04-2024,CHECKOUT,PURCHASED,193.1
281,259,5,14-10-2024,CART,ADDED TO CART,101.03
282,32,14,09-11-2024,CHECKOUT,PURCHASED,119.38
283,162,13,18-12-2024,CART,ADDED TO CART,68.17
284,140,8,18-03-2023,CHECKOUT,ABANDONED,
285,300,4,09-06-2023,IMPRESSIONS,VIEWED,17.56
286,62,18,02-01-2024,CHECKOUT,PURCHASED,160.24
287,238,9,03-05-2023,IMPRESSIONS,VIEWED,13.6
288,168,5,04-04-2023,CLICK,CLICKED,53.51
289,154,9,28-06-2023,IMPRESSIONS,VIEWED,27.24
290,282,8,07-04-2023,CLICK,CLICKED,15.9
291,114,5,22-07-2023,CART,ADDED TO CART,112.35
292,44,19,23-08-2024,IMPRESSIONS,VIEWED,44.89
293,102,15,12-05-2023,IMPRESSIONS,VIEWED,6.71
294,237,2,22-06-2023,CHECKOUT,ABANDONED,
295,203,16,31-01-2023,IMPRESSIONS,VIEWED,19.16
296,96,9,14-10-2023,IMPRESSIONS,VIEWED,29.56
297,126,10,25-05-2024,IMPRESSIONS,VIEWED,8.51
298,197,5,05-03-2024,IMPRESSIONS,VIEWED,44.58
299,184,16,11-07-2024,CART,ADDED TO CART,139.52
300,258,11,02-02-2024,IMPRESSIONS,VIEWED,28.88
301,16,9,01-03-2023,CART,ADDED TO CART,93.53
302,300,8,13-06-2023,IMPRESSIONS,VIEWED,26.35
303,29,8,12-08-2024,CART,ADDED TO CART,72.58
304,89,6,31-08-2023,CLICK,CLICKED,67.76
305,181,19,31-07-2024,IMPRESSIONS,VIEWED,26.68
306,90,16,08-02-2023,IMPRESSIONS,VIEWED,5.8
307,245,1,06-12-2023,CHECKOUT,ABANDONED,
308,67,11,01-07-2023,CHECKOUT,ABANDONED,
309,31,1,01-06-2023,CLICK,CLICKED,78.49
310,187,3,18-01-2024,CLICK,CLICKED,40.24
311,166,5,11-06-2023,CART,ADDED TO CART,125.02
312,250,11,28-06-2023,CLICK,CLICKED,64.91
313,90,13,11-11-2023,CART,ADDED TO CART,45.28
314,1,19,05-02-2024,DROP-OFF,ABANDONED,
315,17,6,08-09-2024,IMPRESSIONS,VIEWED,42.47
316,73,11,21-03-2023,IMPRESSIONS,VIEWED,30.45
317,46,11,02-04-2024,IMPRESSIONS,VIEWED,32.73
318,180,9,21-04-2023,CART,ADDED TO CART,76.31
319,215,6,28-02-2024,CLICK,CLICKED,55.95
320,52,16,14-08-2024,CLICK,CLICKED,48.85
321,18,10,21-01-2023,IMPRESSIONS,VIEWED,18.67
322,193,6,18-03-2023,CLICK,CLICKED,59.55
323,248,1,17-03-2024,CHECKOUT,ABANDONED,
324,223,6,24-02-2023,IMPRESSIONS,VIEWED,21.37
325,284,18,29-09-2023,CLICK,CLICKED,22.19
326,202,19,16-07-2024,CART,ADDED TO CART,36.54
327,2,14,31-03-2023,IMPRESSIONS,VIEWED,8.88
328,106,6,15-10-2024,IMPRESSIONS,VIEWED,38.75
329,158,13,27-04-2024,CLICK,CLICKED,63.14
330,199,6,15-01-2024,CHECKOUT,ABANDONED,
331,96,15,15-02-2023,IMPRESSIONS,VIEWED,14.05
332,138,19,05-03-2023,IMPRESSIONS,VIEWED,31.73
333,278,14,26-08-2024,IMPRESSIONS,VIEWED,37.74
334,215,18,04-12-2024,CHECKOUT,ABANDONED,
335,294,8,02-05-2024,IMPRESSIONS,VIEWED,25.08
336,265,19,24-11-2024,CHECKOUT,PURCHASED,75.67
337,230,6,21-06-2023,CHECKOUT,PURCHASED,77.18
338,217,3,30-11-2024,IMPRESSIONS,VIEWED,17.79
339,35,3,02-02-2024,CLICK,CLICKED,53.98
340,7,20,24-08-2024,CLICK,CLICKED,46.08
341,76,19,25-08-2024,CLICK,CLICKED,57.2
342,52,10,02-07-2024,CHECKOUT,ABANDONED,
343,136,13,01-11-2024,CLICK,CLICKED,27.91
344,207,5,25-09-2024,CLICK,CLICKED,44.68
345,170,8,20-02-2023,CART,ADDED TO CART,137.64
346,11,11,07-11-2023,IMPRESSIONS,VIEWED,43.9
347,117,5,04-11-2023,CHECKOUT,PURCHASED,242.38
348,165,9,02-03-2024,CLICK,CLICKED,48.13
349,209,16,12-06-2024,CHECKOUT,ABANDONED,
350,264,6,09-03-2023,IMPRESSIONS,VIEWED,36.22
351,269,19,30-01-2023,IMPRESSIONS,VIEWED,14.98
352,234,2,05-01-2024,CLICK,CLICKED,76.76
353,259,13,12-10-2024,DROP-OFF,ABANDONED,
354,16,8,17-01-2024,CLICK,CLICKED,87.04
355,243,19,18-07-2024,IMPRESSIONS,VIEWED,34.96
356,47,10,29-01-2023,IMPRESSIONS,VIEWED,39.28
357,116,7,03-10-2023,CLICK,CLICKED,50.56
358,68,6,07-09-2024,CART,ADDED TO CART,60.29
359,157,9,09-03-2024,CHECKOUT,ABANDONED,
360,236,9,12-08-2023,CLICK,CLICKED,15.55
361,192,18,24-10-2024,CLICK,CLICKED,66.33
362,247,3,11-12-2023,CHECKOUT,PURCHASED,264.68
363,134,10,12-07-2023,IMPRESSIONS,VIEWED,37.22
364,207,11,28-11-2024,IMPRESSIONS,VIEWED,44.9
365,133,14,19-02-2024,IMPRESSIONS,VIEWED,18.73
366,114,18,15-10-2024,CART,ADDED TO CART,90.88
367,88,18,05-07-2023,IMPRESSIONS,VIEWED,34.64
368,287,6,27-11-2024,DROP-OFF,ABANDONED,
369,46,8,30-12-2023,IMPRESSIONS,VIEWED,36.52
370,170,12,24-09-2023,CLICK,CLICKED,50.29
371,299,19,27-09-2024,IMPRESSIONS,VIEWED,39.7
372,196,17,02-11-2023,IMPRESSIONS,VIEWED,44.69
373,176,14,06-08-2024,CHECKOUT,ABANDONED,
374,74,11,04-07-2023,CART,ADDED TO CART,69.92
375,91,11,11-10-2024,IMPRESSIONS,VIEWED,13.38
376,87,19,12-06-2023,CLICK,CLICKED,61.09
377,220,13,15-03-2024,CHECKOUT,PURCHASED,46.19
378,274,7,18-01-2024,CHECKOUT,PURCHASED,238.0
379,272,7,19-01-2023,CLICK,CLICKED,67.01
380,177,10,13-05-2023,IMPRESSIONS,VIEWED,7.61
381,24,10,25-10-2023,CLICK,CLICKED,81.6
382,69,11,16-05-2024,IMPRESSIONS,VIEWED,42.92
383,207,1,22-08-2023,IMPRESSIONS,VIEWED,34.36
384,259,6,07-05-2023,IMPRESSIONS,VIEWED,40.06
385,131,18,30-09-2024,IMPRESSIONS,VIEWED,31.14
386,11,2,07-12-2024,IMPRESSIONS,VIEWED,9.94
387,130,16,19-12-2024,IMPRESSIONS,VIEWED,21.83
388,52,17,04-10-2023,CLICK,CLICKED,77.3
389,54,17,24-09-2024,IMPRESSIONS,VIEWED,24.91
390,103,9,19-06-2024,CHECKOUT,PURCHASED,224.38
391,152,6,10-02-2023,CLICK,CLICKED,39.8
392,2,1,18-11-2024,IMPRESSIONS,VIEWED,10.97
393,47,17,18-03-2023,CART,ADDED TO CART,138.57
394,119,15,31-10-2023,IMPRESSIONS,VIEWED,37.53
395,21,10,04-01-2024,CART,ADDED TO CART,81.12
396,60,4,16-02-2023,IMPRESSIONS,VIEWED,18.15
397,225,20,02-10-2023,CHECKOUT,ABANDONED,
398,191,11,07-07-2023,IMPRESSIONS,VIEWED,15.87
399,198,16,07-03-2024,CLICK,CLICKED,24.94
400,31,6,17-04-2023,IMPRESSIONS,VIEWED,12.25
401,195,12,18-09-2024,IMPRESSIONS,VIEWED,41.82
402,58,14,27-03-2024,IMPRESSIONS,VIEWED,5.49
403,269,19,01-08-2024,IMPRESSIONS,VIEWED,22.31
404,128,16,21-12-2023,CLICK,CLICKED,77.93
405,286,20,25-02-2023,IMPRESSIONS,VIEWED,39.07
406,85,3,18-05-2024,IMPRESSIONS,VIEWED,7.01
407,115,18,20-10-2024,IMPRESSIONS,VIEWED,23.36
408,294,15,01-04-2023,CHECKOUT,ABANDONED,
409,162,4,24-05-2024,CART,ADDED TO CART,42.32
410,212,2,24-07-2024,CLICK,CLICKED,81.76
411,288,7,01-11-2024,CLICK,CLICKED,76.9
412,115,15,06-12-2023,CLICK,CLICKED,68.69
413,59,4,05-11-2024,IMPRESSIONS,VIEWED,38.2
414,150,18,18-06-2024,IMPRESSIONS,VIEWED,40.88
415,253,5,24-02-2024,IMPRESSIONS,VIEWED,9.83
416,202,7,13-04-2024,CART,ADDED TO CART,116.01
417,56,14,17-02-2023,DROP-OFF,ABANDONED,
418,64,15,13-04-2024,CLICK,CLICKED,15.33
419,25,18,19-03-2024,CART,ADDED TO CART,140.92
420,91,19,27-06-2023,CART,ADDED TO CART,42.43
421,165,17,29-01-2024,IMPRESSIONS,VIEWED,20.91
422,176,10,08-04-2024,CART,ADDED TO CART,79.53
423,263,10,19-12-2024,CLICK,CLICKED,30.07
424,149,12,19-11-2024,IMPRESSIONS,VIEWED,33.41
425,181,18,06-05-2024,CLICK,CLICKED,80.81
426,217,1,19-06-2024,IMPRESSIONS,VIEWED,7.12
427,29,7,01-10-2023,CART,ADDED TO CART,148.02
428,129,5,05-03-2023,CLICK,CLICKED,71.52
429,17,12,08-04-2024,IMPRESSIONS,VIEWED,14.5
430,148,2,26-01-2024,IMPRESSIONS,VIEWED,5.52
431,129,7,27-09-2024,CHECKOUT,ABANDONED,
432,116,12,25-08-2024,CLICK,CLICKED,37.06
433,91,3,11-07-2023,CHECKOUT,PURCHASED,141.19
434,220,9,23-07-2024,IMPRESSIONS,VIEWED,5.23
435,239,5,10-02-2023,IMPRESSIONS,VIEWED,35.95
436,155,16,09-08-2024,CLICK,CLICKED,54.4
437,95,17,11-03-2023,CART,ADDED TO CART,79.91
438,275,13,05-04-2023,IMPRESSIONS,VIEWED,18.24
439,151,7,25-09-2024,CLICK,CLICKED,65.17
440,229,8,19-10-2024,CLICK,CLICKED,66.19
441,165,13,27-04-2023,IMPRESSIONS,VIEWED,41.45
442,192,17,04-06-2024,IMPRESSIONS,VIEWED,40.93
443,99,11,10-06-2024,IMPRESSIONS,VIEWED,43.87
444,276,18,08-01-2023,CLICK,CLICKED,79.87
445,218,4,30-07-2023,CLICK,CLICKED,71.02
446,79,1,15-04-2024,CLICK,CLICKED,20.49
447,92,9,25-07-2024,IMPRESSIONS,VIEWED,21.31
448,231,13,19-03-2024,IMPRESSIONS,VIEWED,26.39
449,33,19,16-02-2023,CLICK,CLICKED,84.6
450,55,10,03-12-2024,IMPRESSIONS,VIEWED,35.61
451,225,13,09-02-2024,CART,ADDED TO CART,86.88
452,274,8,20-05-2023,CART,ADDED TO CART,145.22
