ContentID,ContentType,Campaign,ViewsClicksCombined,Likes,Date
CNT-10122,VIDEO,Campaign_Q1_Launch,72745-14997,3011,2024-10-26
CNT-10123,VIDEO,Campaign_Summer_Boost,15914-3642,789,2024-04-23
CNT-10124,Video,Campaign_Q1_Launch,66460-15929,5175,2024-02-20
CNT-10125,Social Media,Campaign_Q1_Launch,105367-24839,9949,2024-11-13
CNT-10126,newsletter,Campaign_Q4_Holiday,143698-33204,13156,2023-03-28
CNT-10127,Blog,Campaign_Q4_Holiday,50161-11128,3634,2023-04-13
CNT-10128,VIDEO,Campaign_Summer_Boost,126883-27768,10919,2024-09-06
CNT-10129,Newsletter,Campaign_Summer_Boost,128774-23396,7550,2023-07-27
CNT-10130,BLOG,Campaign_Summer_Boost,117326-26013,8863,2023-04-25
CNT-10131,Social Media,Campaign_Spring_Sale,24678-4966,2006,2023-05-04
CNT-10132,social media,Campaign_Summer_Boost,120190-23366,10090,2024-08-05
CNT-10133,newsletter,Campaign_Summer_Boost,60798-12226,2594,2024-01-01
CNT-10134,VIDEO,Campaign_Q4_Holiday,137414-30893,12969,2024-06-21
CNT-10135,Newsletter,Campaign_Q4_Holiday,64581-13031,2999,2023-05-14
CNT-10136,VIDEO,Campaign_Q4_Holiday,145190-28417,8875,2023-10-16
CNT-10137,newsletter,Campaign_Q4_Holiday,77588-15706,7008,2024-09-29
CNT-10138,BLOG,Campaign_Summer_Boost,71665-15208,4459,2024-09-10
CNT-10139,newsletter,Campaign_Q1_Launch,61515-12366,4862,2023-03-24
CNT-10140,social media,Campaign_Q1_Launch,114605-26762,8201,2024-08-14
CNT-10141,VIDEO,Campaign_Spring_Sale,115014-26291,5993,2023-04-02
CNT-10142,Newsletter,Campaign_Spring_Sale,70264-14205,5249,2023-08-06
CNT-10143,VIDEO,Campaign_Spring_Sale,140407-29964,6289,2024-10-18
CNT-10144,Newsletter,Campaign_Spring_Sale,140158-28372,7344,2023-12-06
CNT-10145,Social Media,Campaign_Q4_Holiday,60000-10991,3841,2023-10-11
CNT-10146,newsletter,Campaign_Summer_Boost,140843-29612,6764,2024-07-25
CNT-10147,Social Media,Campaign_Q4_Holiday,66633-13154,3842,2024-04-07
CNT-10148,social media,Campaign_Spring_Sale,48432-9117,2327,2024-03-27
CNT-10149,newsletter,Campaign_Q4_Holiday,102987-24133,4875,2023-09-08
CNT-10150,Blog,Campaign_Q4_Holiday,112916-25992,9384,2023-02-26
CNT-10151,BLOG,Campaign_Summer_Boost,141446-31339,10145,2024-05-09
CNT-10152,VIDEO,Campaign_Q4_Holiday,93815-18034,7730,2024-11-16
CNT-10153,Blog,Campaign_Spring_Sale,94117-20559,5172,2023-09-11
CNT-10154,VIDEO,Campaign_Q1_Launch,101619-21309,4430,2024-08-24
CNT-10155,Social Media,Campaign_Q4_Holiday,56398-10321,2765,2023-02-05
CNT-10156,social media,Campaign_Q4_Holiday,112821-23358,6729,2024-03-03
CNT-10157,Social Media,Campaign_Summer_Boost,66663-12797,2880,2024-07-02
CNT-10158,Newsletter,Campaign_Q4_Holiday,16248-3710,1240,2023-11-29
CNT-10159,Video,Campaign_Q4_Holiday,86375-16728,7204,2024-10-20
CNT-10160,Blog,Campaign_Summer_Boost,42827-7864,2982,2023-01-17
CNT-10161,Blog,Campaign_Spring_Sale,142607-32339,11262,2023-09-24
CNT-10162,social media,Campaign_Summer_Boost,87982-20278,4817,2023-01-02
CNT-10163,VIDEO,Campaign_Q1_Launch,147364-31350,11288,2024-03-01
CNT-10164,VIDEO,Campaign_Spring_Sale,55795-12596,5235,2024-08-23
CNT-10165,social media,Campaign_Summer_Boost,132518-31574,8848,2024-06-25
CNT-10166,Blog,Campaign_Q1_Launch,41409-7675,2910,2023-02-08
CNT-10167,social media,Campaign_Summer_Boost,135076-27307,5824,2023-04-05
CNT-10168,Newsletter,Campaign_Summer_Boost,57302-11635,3205,2023-12-09
CNT-10169,BLOG,Campaign_Summer_Boost,124111-29705,5965,2023-07-02
CNT-10170,VIDEO,Campaign_Spring_Sale,104570-23271,9267,2024-09-29
CNT-10171,Social Media,Campaign_Spring_Sale,80525-17246,3466,2023-03-27
CNT-10172,newsletter,Campaign_Spring_Sale,92359-17894,5300,2023-03-05
CNT-10173,BLOG,Campaign_Summer_Boost,138806-30691,11668,2023-02-21
CNT-10174,Newsletter,Campaign_Q1_Launch,80492-18962,6283,2023-03-20
CNT-10175,Video,Campaign_Q4_Holiday,108708-20274,5017,2023-05-17
CNT-10176,VIDEO,Campaign_Summer_Boost,37389-8390,1678,2023-06-24
CNT-10177,Social Media,Campaign_Summer_Boost,42969-8991,2695,2024-01-28
CNT-10178,Video,Campaign_Summer_Boost,129326-25242,10286,2024-06-25
CNT-10179,BLOG,Campaign_Summer_Boost,46941-8989,3312,2024-03-21
CNT-10180,Newsletter,Campaign_Summer_Boost,18233-3435,979,2024-09-03
CNT-10181,VIDEO,Campaign_Summer_Boost,128008-28391,11919,2024-07-19
CNT-10182,VIDEO,Campaign_Q4_Holiday,40927-9004,3437,2024-07-15
CNT-10183,Social Media,Campaign_Q1_Launch,101296-19313,7739,2024-08-29
CNT-10184,Social Media,Campaign_Spring_Sale,37451-8571,3562,2024-10-20
CNT-10185,VIDEO,Campaign_Summer_Boost,56951-12200,5216,2023-10-04
CNT-10186,VIDEO,Campaign_Summer_Boost,43877-8646,3352,2023-08-10
CNT-10187,BLOG,Campaign_Q4_Holiday,64692-13897,3767,2023-06-22
CNT-10188,Newsletter,Campaign_Summer_Boost,55327-9977,2296,2023-06-16
CNT-10189,Video,Campaign_Q1_Launch,133023-26354,5553,2023-02-22
CNT-10190,Blog,Campaign_Summer_Boost,129252-28060,9141,2024-06-17
CNT-10191,Newsletter,Campaign_Q4_Holiday,110417-24010,8065,2024-12-08
CNT-10192,Social Media,Campaign_Q4_Holiday,63920-15108,5287,2023-09-11
CNT-10193,Newsletter,Campaign_Q4_Holiday,100707-23864,10450,2024-03-02
CNT-10194,Blog,Campaign_Summer_Boost,47441-11374,5023,2023-07-15
CNT-10195,Social Media,Campaign_Q1_Launch,21668-5060,1136,2023-03-05
CNT-10196,BLOG,Campaign_Spring_Sale,72076-13416,4033,2024-06-30
CNT-10197,Social Media,Campaign_Spring_Sale,90974-17374,4563,2023-01-13
CNT-10198,Social Media,Campaign_Spring_Sale,81007-16498,7187,2024-05-03
CNT-10199,VIDEO,Campaign_Spring_Sale,56444-10193,2393,2023-09-10
CNT-10200,Blog,Campaign_Spring_Sale,78371-16631,5159,2023-02-10
CNT-10201,newsletter,Campaign_Q4_Holiday,115890-21066,8282,2024-09-25
CNT-10202,social media,Campaign_Q4_Holiday,126832-28220,12063,2023-11-06
CNT-10203,Video,Campaign_Q4_Holiday,142610-33056,7231,2024-04-04
CNT-10204,BLOG,Campaign_Spring_Sale,91575-21114,4496,2023-09-04
CNT-10205,social media,Campaign_Q1_Launch,112090-25922,5305,2024-11-20
CNT-10206,newsletter,Campaign_Spring_Sale,89359-20364,8167,2023-05-21
CNT-10207,BLOG,Campaign_Summer_Boost,62932-12959,3529,2023-03-08
CNT-10208,Newsletter,Campaign_Spring_Sale,61630-12888,5296,2024-12-27
CNT-10209,social media,Campaign_Summer_Boost,63570-12279,4474,2024-07-18
CNT-10210,Social Media,Campaign_Spring_Sale,114962-25163,11136,2024-10-03
CNT-10211,Social Media,Campaign_Q4_Holiday,126798-26749,8547,2023-02-10
CNT-10212,Blog,Campaign_Spring_Sale,75882-15262,6540,2024-10-28
CNT-10213,social media,Campaign_Q1_Launch,111263-23891,5200,2023-03-24
CNT-10214,Newsletter,Campaign_Spring_Sale,36200-7929,2217,2023-11-16
CNT-10215,newsletter,Campaign_Q1_Launch,105749-19078,6053,2024-11-02
CNT-10216,Video,Campaign_Q4_Holiday,140694-28490,10849,2024-07-18
CNT-10217,Blog,Campaign_Summer_Boost,119726-22971,6584,2024-01-22
CNT-10218,Newsletter,Campaign_Q4_Holiday,47832-10815,2805,2023-01-12
CNT-10219,BLOG,Campaign_Summer_Boost,34125-7393,3000,2024-07-19
CNT-10220,Blog,Campaign_Summer_Boost,87850-19757,4755,2024-01-15
CNT-10221,BLOG,Campaign_Summer_Boost,41429-7944,3269,2023-07-13
CNT-10222,Video,Campaign_Summer_Boost,32647-6564,1470,2024-02-28
CNT-10223,social media,Campaign_Summer_Boost,43766-10295,3870,2023-04-12
CNT-10224,Video,Campaign_Q4_Holiday,145517-28887,6551,2023-08-24
CNT-10225,Newsletter,Campaign_Spring_Sale,120356-27125,10403,2023-01-11
CNT-10226,BLOG,Campaign_Q1_Launch,81010-14897,3863,2023-05-26
CNT-10227,Social Media,Campaign_Spring_Sale,83371-15678,6530,2024-05-13
CNT-10228,newsletter,Campaign_Q1_Launch,67093-15633,6355,2023-06-26
CNT-10229,social media,Campaign_Q1_Launch,51681-10902,3383,2024-06-22
CNT-10230,social media,Campaign_Summer_Boost,95532-21063,8118,2023-11-24
CNT-10231,Social Media,Campaign_Q1_Launch,33508-7847,2434,2023-11-21
CNT-10232,Newsletter,Campaign_Spring_Sale,145559-33983,8644,2023-03-31
CNT-10233,Blog,Campaign_Spring_Sale,77549-18567,4201,2023-01-17
CNT-10234,Newsletter,Campaign_Spring_Sale,78107-14311,4407,2023-12-09
CNT-10235,Blog,Campaign_Q1_Launch,22012-4272,1845,2023-04-08
CNT-10236,Video,Campaign_Spring_Sale,124440-24622,10783,2023-04-05
CNT-10237,Video,Campaign_Q1_Launch,48813-8984,2140,2023-03-19
CNT-10238,Blog,Campaign_Q1_Launch,37870-7833,1830,2023-09-26
CNT-10239,Newsletter,Campaign_Q1_Launch,126309-27543,8748,2024-04-01
CNT-10240,social media,Campaign_Spring_Sale,31837-6268,2204,2024-05-04
CNT-10241,Video,Campaign_Spring_Sale,48648-11566,3123,2024-10-21
CNT-10242,Blog,Campaign_Q4_Holiday,82059-15819,3974,2023-11-09
CNT-10243,Social Media,Campaign_Q1_Launch,26373-5398,1169,2023-02-16
CNT-10244,Video,Campaign_Summer_Boost,118572-21356,4335,2023-10-27
CNT-10245,VIDEO,Campaign_Spring_Sale,46970-9115,2657,2024-04-11
CNT-10246,Blog,Campaign_Spring_Sale,27405-6118,2385,2023-05-31
CNT-10247,Social Media,Campaign_Spring_Sale,108674-22321,9266,2024-12-10
CNT-10248,newsletter,Campaign_Spring_Sale,37304-7809,3113,2023-03-20
CNT-10249,newsletter,Campaign_Q4_Holiday,143740-29525,11334,2024-01-15
CNT-10250,VIDEO,Campaign_Spring_Sale,146098-30508,11107,2023-05-12
CNT-10251,social media,Campaign_Q1_Launch,73512-15943,5752,2023-06-14
CNT-10252,Video,Campaign_Summer_Boost,147822-30834,6466,2024-01-05
CNT-10253,VIDEO,Campaign_Summer_Boost,98646-19778,6434,2024-06-06
CNT-10254,VIDEO,Campaign_Q4_Holiday,73548-14476,4844,2024-12-03
CNT-10255,Video,Campaign_Q4_Holiday,120575-27338,10442,2023-02-11
CNT-10256,social media,Campaign_Q1_Launch,106183-24696,9908,2024-06-06
CNT-10257,BLOG,Campaign_Spring_Sale,42798-9673,3238,2023-11-30
CNT-10258,social media,Campaign_Q4_Holiday,51754-9418,4003,2023-11-10
CNT-10259,social media,Campaign_Spring_Sale,62893-13011,4795,2023-11-20
CNT-10260,Blog,Campaign_Q1_Launch,122630-23750,6614,2024-03-06
CNT-10261,newsletter,Campaign_Q1_Launch,51771-12353,4752,2024-10-12
CNT-10262,VIDEO,Campaign_Summer_Boost,66699-13841,5040,2023-07-10
CNT-10263,Video,Campaign_Summer_Boost,109120-24109,6920,2023-12-11
CNT-10264,social media,Campaign_Summer_Boost,84987-16737,6524,2023-02-06
CNT-10265,newsletter,Campaign_Q4_Holiday,134546-27996,12372,2024-06-22
CNT-10266,Social Media,Campaign_Spring_Sale,42748-9649,2005,2023-02-09
CNT-10267,newsletter,Campaign_Spring_Sale,17398-4097,841,2024-09-25
CNT-10268,Blog,Campaign_Q4_Holiday,32839-7856,3107,2023-10-30
CNT-10269,Newsletter,Campaign_Q1_Launch,131285-26522,8565,2024-12-10
CNT-10270,Video,Campaign_Summer_Boost,39845-9425,1939,2024-12-11
CNT-10271,Blog,Campaign_Q4_Holiday,122178-25536,8438,2023-09-21
CNT-10272,Blog,Campaign_Spring_Sale,128614-24123,6587,2024-05-24
CNT-10273,Video,Campaign_Summer_Boost,123639-25741,5888,2023-01-17
CNT-10274,VIDEO,Campaign_Q4_Holiday,137211-31107,8017,2023-06-10
CNT-10275,BLOG,Campaign_Q4_Holiday,27322-6053,2208,2023-08-18
CNT-10276,Video,Campaign_Q4_Holiday,79034-14864,6094,2024-11-06
CNT-10277,Newsletter,Campaign_Q4_Holiday,82205-17759,7151,2023-03-03
CNT-10278,social media,Campaign_Q1_Launch,83362-18997,4880,2023-04-14
CNT-10279,newsletter,Campaign_Q4_Holiday,146127-34487,11841,2023-09-25
CNT-10280,Newsletter,Campaign_Spring_Sale,89351-18587,5030,2024-06-24
CNT-10281,VIDEO,Campaign_Q1_Launch,65239-11974,3926,2023-10-23
CNT-10282,social media,Campaign_Spring_Sale,79870-14777,3931,2024-01-01
CNT-10283,Newsletter,Campaign_Summer_Boost,40401-8508,1966,2024-04-19
CNT-10284,BLOG,Campaign_Q1_Launch,139421-25571,6685,2023-09-05
CNT-10285,newsletter,Campaign_Summer_Boost,66854-14957,3569,2024-01-26
CNT-10286,newsletter,Campaign_Summer_Boost,22427-5345,2129,2024-12-06
CNT-10287,BLOG,Campaign_Spring_Sale,114599-21577,4808,2024-10-26
CNT-10288,Social Media,Campaign_Spring_Sale,47367-8733,2481,2023-04-22
CNT-10289,VIDEO,Campaign_Q1_Launch,22082-4822,997,2023-01-12
CNT-10290,newsletter,Campaign_Q1_Launch,79971-17931,6498,2023-07-28
CNT-10291,Video,Campaign_Q1_Launch,109497-25432,6208,2024-11-22
CNT-10292,Blog,Campaign_Summer_Boost,57978-12685,3881,2024-03-24
CNT-10293,social media,Campaign_Summer_Boost,67472-14414,5296,2023-11-20
CNT-10294,Newsletter,Campaign_Q1_Launch,47425-10905,2477,2024-12-02
CNT-10295,BLOG,Campaign_Summer_Boost,85814-19228,5831,2024-12-19
CNT-10296,VIDEO,Campaign_Summer_Boost,101363-20158,6241,2023-11-21
CNT-10297,Social Media,Campaign_Q4_Holiday,48358-10793,3844,2023-03-03
CNT-10298,VIDEO,Campaign_Summer_Boost,96512-22974,5645,2023-07-16
CNT-10299,Social Media,Campaign_Spring_Sale,106052-22621,7878,2023-12-23
CNT-10300,Video,Campaign_Spring_Sale,102361-23804,5780,2024-06-14
CNT-10301,Video,Campaign_Summer_Boost,22344-5263,1704,2023-02-16
CNT-10302,newsletter,Campaign_Q1_Launch,133243-30445,8834,2023-10-29
CNT-10303,Social Media,Campaign_Summer_Boost,62404-12282,4609,2024-05-19
CNT-10304,newsletter,Campaign_Q4_Holiday,81351-16035,6853,2024-08-02
CNT-10305,Newsletter,Campaign_Summer_Boost,79299-14435,4428,2023-02-24
CNT-10306,Video,Campaign_Q4_Holiday,17283-3511,1169,2024-06-07
CNT-10307,Social Media,Campaign_Q4_Holiday,93027-19794,4581,2024-11-18
CNT-10308,newsletter,Campaign_Summer_Boost,110684-25251,8186,2024-08-30
CNT-10309,social media,Campaign_Summer_Boost,91088-19965,5888,2024-08-19
CNT-10310,VIDEO,Campaign_Spring_Sale,46793-8484,3492,2023-01-25
CNT-10311,newsletter,Campaign_Spring_Sale,109492-21372,9498,2023-07-22
CNT-10312,Newsletter,Campaign_Q1_Launch,39269-8848,1903,2024-09-21
CNT-10313,social media,Campaign_Spring_Sale,81288-16917,5245,2023-05-27
CNT-10314,Newsletter,Campaign_Spring_Sale,109520-24105,10200,2023-04-17
CNT-10315,newsletter,Campaign_Summer_Boost,67767-12703,3792,2023-02-28
CNT-10316,social media,Campaign_Spring_Sale,112447-20636,8384,2024-11-27
CNT-10317,Blog,Campaign_Spring_Sale,148304-35009,9265,2023-10-01
CNT-10318,Social Media,Campaign_Q4_Holiday,108713-20581,8873,2024-03-13
CNT-10319,VIDEO,Campaign_Q4_Holiday,84362-18069,6892,2023-12-11
CNT-10320,Blog,Campaign_Summer_Boost,107809-24856,9526,2023-04-29
CNT-10321,Social Media,Campaign_Q4_Holiday,65605-14665,4740,2023-10-22
CNT-10322,Social Media,Campaign_Q4_Holiday,42910-9085,2118,2023-05-29
CNT-10323,Blog,Campaign_Q1_Launch,57310-11049,4875,2024-02-08
CNT-10324,Social Media,Campaign_Q4_Holiday,116571-21698,6556,2023-10-05
CNT-10325,Video,Campaign_Summer_Boost,25599-5035,2168,2023-12-11
CNT-10326,BLOG,Campaign_Q1_Launch,36173-6865,2021,2024-05-31
CNT-10327,VIDEO,Campaign_Q1_Launch,19170-3853,1673,2024-12-25
CNT-10328,Social Media,Campaign_Spring_Sale,24925-5199,1884,2024-11-26
CNT-10329,BLOG,Campaign_Summer_Boost,59487-13538,5862,2023-05-19
CNT-10330,newsletter,Campaign_Q4_Holiday,143547-29985,8042,2023-07-31
CNT-10331,social media,Campaign_Summer_Boost,84466-16303,6325,2024-10-16
CNT-10332,newsletter,Campaign_Spring_Sale,49915-11127,3671,2023-08-10
CNT-10333,Newsletter,Campaign_Spring_Sale,35922-8243,2358,2023-02-12
CNT-10334,Video,Campaign_Spring_Sale,114445-20609,6394,2023-06-19
CNT-10335,VIDEO,Campaign_Summer_Boost,65779-15368,5481,2024-12-14
CNT-10336,Newsletter,Campaign_Q4_Holiday,104985-20261,6568,2024-01-05
CNT-10337,BLOG,Campaign_Q4_Holiday,80175-14967,3091,2023-07-05
CNT-10338,Video,Campaign_Spring_Sale,32168-6863,1753,2024-11-12
CNT-10339,BLOG,Campaign_Q1_Launch,139861-30400,12473,2024-04-23
CNT-10340,newsletter,Campaign_Spring_Sale,42643-10189,3597,2023-07-17
